,range,angle
0,0.0,0.20180399999999998
1,0.0,0.192804
2,0.0,0.18435
3,0.0,0.175624
4,0.0,0.166897
5,0.0,0.158171
6,0.0,0.149444
7,0.0,0.14099
8,0.0,0.13226300000000002
9,0.0,0.12353599999999999
10,0.0,0.11481
11,0.0,0.106083
12,0.0,0.0973566
13,0.0,0.0889028
14,0.0,0.08017619999999999
15,0.0,0.07144960000000002
16,0.0,0.175896
17,0.81325,0.166897
18,0.80925,0.158443
19,0.80325,0.149444
20,0.79625,0.14044500000000001
21,0.79025,0.131445
22,0.79525,0.122991
23,0.79625,0.114264
24,0.79725,0.10580999999999999
25,0.79525,0.0970839
26,0.79925,0.0883573
27,0.80125,0.0799034
28,0.80425,0.0711768
29,0.81025,0.0629953
30,0.82425,0.0545414
31,0.0,0.047996300000000006
32,0.0,-0.0760854
33,0.0,-0.084812
34,0.0,-0.09353860000000001
35,0.0,-0.101993
36,0.0,-0.11072
37,0.0,-0.11944600000000001
38,0.0,-0.128173
39,0.0,-0.136899
40,0.0,-0.145626
41,0.0,-0.03490669999999999
42,1.06,-0.0433605
43,1.064,-0.051814400000000004
44,0.0,-0.179715
45,0.0,-0.188168
46,0.0,-0.19689500000000001
47,0.0,-0.20534899999999998
48,0.0,-0.083176
49,2.5610000000000004,-0.0916298
50,2.573,-0.100356
51,0.0,-0.106901
52,3.207,-0.115901
53,3.207,-0.124355
54,3.219,-0.13280899999999998
55,3.221,-0.141262
56,0.0,-0.282525
57,0.0,-0.291252
58,0.0,-0.173988
59,1.6230000000000002,-0.182169
60,0.0,-0.316886
61,0.0,-0.325613
62,0.0,-0.334067
63,0.0,-0.342794
64,0.0,-0.351248
65,0.0,-0.35997399999999996
66,0.0,-0.36842800000000003
67,0.0,-0.377155
68,0.0,-0.385608
69,0.0,-0.394063
70,0.0,-0.28607
71,0.93625,-0.294797
72,0.92825,-0.303797
73,0.91825,-0.312523
74,0.91125,-0.32125
75,0.90925,-0.32997600000000005
76,0.91825,-0.33843
77,0.91225,-0.346884
78,0.89925,-0.356156
79,0.90225,-0.36433699999999997
80,0.90525,-0.373064
81,0.91025,-0.381245
82,0.91925,-0.38969899999999996
83,0.0,-0.39679000000000003
84,0.0,-0.522508
85,0.0,-0.531235
86,0.0,-0.5396880000000001
87,0.0,-0.548142
88,0.0,-0.556597
89,0.0,-0.5653229999999999
90,0.0,-0.5737770000000001
91,0.0,-0.582231
92,0.0,-0.46633
93,1.45425,-0.47478400000000004
94,1.44925,-0.483238
95,1.44025,-0.491965
96,1.43225,-0.500691
97,1.42725,-0.509145
98,1.42925,-0.517599
99,1.43125,-0.5263260000000001
100,1.44125,-0.53478
101,1.45725,-0.5429609999999999
102,1.49625,-0.551142
103,0.0,-0.684769
104,0.0,-0.6932229999999999
105,0.0,-0.701677
106,0.0,-0.710404
107,0.0,-0.718858
108,0.0,-0.7273109999999999
109,0.0,-0.735765
110,0.0,-0.744492
111,0.0,-0.752946
112,0.0,-0.7614
113,0.0,-0.770127
114,0.0,-0.77858
115,0.0,-0.787034
116,0.0,-0.795488
117,0.0,-0.804215
118,0.0,-0.812669
119,0.0,-0.8211229999999999
120,0.0,-0.82985
121,0.0,-0.838303
122,0.0,-0.846757
123,0.0,-0.855211
124,0.0,-0.7376739999999999
125,1.62225,-0.746128
126,1.62225,-0.754855
127,1.62725,-0.763309
128,1.64425,-0.771763
129,1.68,-0.780217
130,0.0,-0.915207
131,0.0,-0.923934
132,0.0,-0.9323879999999999
133,0.0,-0.940841
134,0.0,-0.9495680000000001
135,0.0,-0.9580219999999999
136,0.0,-0.966749
137,0.0,-0.975203
138,0.0,-0.983657
139,0.0,-0.992383
140,0.0,-1.00084
141,0.0,-1.00956
142,0.0,-1.0180200000000001
143,0.0,-1.02674
144,0.0,-0.8999360000000001
145,0.0,-1.04365
146,0.0,-1.0523799999999999
147,0.0,-1.06083
148,0.0,-1.06956
149,0.0,-1.0780100000000001
150,0.0,-0.951477
151,4.97625,-0.9602040000000001
152,4.94025,-0.968658
153,4.91425,-0.977384
154,4.89025,-0.9858379999999999
155,4.86225,-0.994292
156,4.84025,-1.00302
157,4.82225,-1.01147
158,0.0,-1.15519
159,0.0,-1.16364
160,0.0,-1.1723700000000001
161,0.0,-1.18137
162,0.0,-1.18982
163,0.0,-1.19855
164,0.0,-1.09574
165,0.0,-1.21573
166,0.0,-1.2241799999999998
167,0.0,-1.23291
168,0.0,-1.2416399999999999
169,0.0,-1.25009
170,0.0,-1.25882
171,0.0,-1.2672700000000001
172,0.0,-1.16201
173,0.0,-1.28473
174,0.0,-1.29318
175,0.0,-1.3019100000000001
176,0.0,-1.31036
177,0.0,-1.3190899999999999
178,0.0,-1.32781
179,0.0,-1.20182
180,4.40525,-1.21055
181,4.39525,-1.219
182,4.38625,-1.22773
183,0.0,-1.23728
184,0.0,-1.24627
185,0.0,-1.255
186,3.38525,-1.26345
187,3.38325,-1.2721799999999999
188,3.42325,-1.28064
189,0.0,-1.288
190,4.30525,-1.29673
191,4.29225,-1.30518
192,4.27525,-1.3139100000000001
193,0.0,-1.4568
194,0.0,-1.46553
195,0.0,-1.34581
196,1.94,-1.3545399999999999
197,0.0,-1.4914399999999999
198,0.0,-1.49989
199,0.0,-1.37445
200,0.0,-1.3850799999999999
201,3.05225,-1.39408
202,3.05225,-1.40254
203,3.076,-1.41126
204,0.0,-1.41781
205,4.20925,-1.4265299999999999
206,4.21425,-1.43526
207,4.20225,-1.44371
208,4.20025,-1.45244
209,4.19325,-1.4609
210,4.19025,-1.4696200000000001
211,4.19525,-1.47835
212,4.19625,-1.4868
213,4.19025,-1.49553
214,4.19325,-1.50426
215,4.18225,-1.51271
216,4.18725,-1.52144
217,4.18425,-1.52989
218,4.18925,-1.53862
219,4.18925,-1.54734
220,4.19025,-1.5558
221,4.19325,-1.5645200000000001
222,4.18425,-1.5729799999999998
223,4.19125,-1.5817
224,4.19025,-1.59043
225,4.19525,-1.59889
226,4.19725,-1.60761
227,4.19325,-1.6163399999999999
