,range,angle
0,1.39525,0.33024899999999996
1,1.39225,0.321523
2,1.38725,0.313614
3,1.38425,0.305705
4,1.38025,0.29752399999999996
5,1.37525,0.289615
6,1.37325,0.28170700000000004
7,1.37025,0.27352600000000005
8,1.36625,0.265344
9,1.36225,0.257436
10,1.36125,0.249255
11,1.35825,0.241346
12,1.35425,0.233438
13,1.35225,0.225257
14,1.35025,0.217348
15,1.34825,0.20916700000000002
16,1.34425,0.200986
17,1.34225,0.193077
18,1.34025,0.184896
19,1.33725,0.17698699999999998
20,1.33625,0.169079
21,1.33425,0.160898
22,1.33225,0.152989
23,1.33125,0.14508
24,1.32925,0.136899
25,1.32825,0.128991
26,1.32625,0.121082
27,1.32425,0.112901
28,1.32325,0.104993
29,1.32325,0.09681110000000001
30,1.32125,0.08863
31,1.32125,0.0807217
32,1.32025,0.07254010000000001
33,1.32025,0.0646318
34,1.31925,0.05672340000000001
35,1.31825,0.0485418
36,1.31825,0.040633499999999996
37,1.31725,0.0327252
38,1.31625,0.0245436
39,1.31725,0.0166352
40,1.31625,0.00845415
41,1.31525,1.74846e-07
42,1.31625,-0.00790865
43,1.31625,-0.015816999999999998
44,1.31625,-0.023998099999999998
45,1.31625,-0.0319069
46,1.31625,-0.039815300000000005
47,1.31825,-0.047996300000000006
48,1.31625,-0.0559052
49,1.31925,-0.0638135
50,1.32025,-0.0719946
51,1.31925,-0.0799034
52,1.32125,-0.08781180000000001
53,1.32125,-0.0959933
54,1.32025,-0.103902
55,1.32125,-0.11180999999999999
56,1.32225,-0.119992
57,1.32425,-0.127627
58,1.32725,-0.135536
59,1.32825,-0.143717
60,1.33025,-0.151625
61,1.33025,-0.15953399999999998
62,1.33225,-0.167715
63,1.33325,-0.175624
64,1.33425,-0.183532
65,1.33525,-0.19171400000000002
66,1.34025,-0.199622
67,1.34125,-0.20753000000000002
68,1.34325,-0.215712
69,1.34525,-0.223347
70,1.34825,-0.231256
71,1.34925,-0.23943699999999998
72,1.35325,-0.247346
73,1.35625,-0.255255
74,1.35825,-0.263436
75,1.36225,-0.27134400000000003
76,1.36525,-0.27925300000000003
77,1.36725,-0.287434
78,1.37125,-0.29507
79,1.37625,-0.302978
80,1.37725,-0.311159
81,1.38325,-0.318796
82,1.38425,-0.326704
83,1.38825,-0.33461199999999997
84,1.39325,-0.342248
85,1.39725,-0.350429
86,1.40125,-0.358338
87,1.40625,-0.366247
88,1.40925,-0.374155
89,1.41125,-0.382336
90,1.41825,-0.389972
91,1.42325,-0.39788
92,1.42625,-0.405789
93,1.43325,-0.41397
94,1.43625,-0.421879
95,1.44125,-0.429787
96,1.44625,-0.43742299999999995
97,1.45225,-0.445604
98,1.45825,-0.453513
99,1.46225,-0.461421
100,1.46925,-0.46933
101,1.47425,-0.477238
102,1.48025,-0.48514700000000005
103,1.48725,-0.49305600000000005
104,1.49225,-0.5009640000000001
105,1.50025,-0.508872
106,1.50525,-0.516781
107,1.51125,-0.5246890000000001
108,1.51825,-0.5325979999999999
109,1.52725,-0.540779
110,1.53225,-0.548415
111,1.53925,-0.5563239999999999
112,1.54825,-0.564232
113,1.55325,-0.5724130000000001
114,1.56525,-0.5800489999999999
115,1.57025,-0.587958
116,1.57825,-0.595867
117,1.58625,-0.6040479999999999
118,1.59425,-0.611683
119,1.60325,-0.619592
120,1.61325,-0.6277729999999999
121,1.62125,-0.635409
122,1.63025,-0.643045
123,1.63825,-0.650953
124,1.64925,-0.658862
125,1.66025,-0.66677
126,1.66925,-0.674679
127,1.67825,-0.6825869999999999
128,1.69825,-0.6902229999999999
129,0.0,-0.694314
130,2.57025,-0.702222
131,2.58525,-0.709858
132,2.60325,-0.717767
133,2.62225,-0.7259479999999999
134,2.63625,-0.7338560000000001
135,2.65625,-0.741765
136,2.67525,-0.749401
137,2.69225,-0.757582
138,2.71125,-0.76549
139,2.73125,-0.773399
140,2.75325,-0.781308
141,2.77425,-0.789216
142,2.79325,-0.797125
143,2.81425,-0.805033
144,2.83925,-0.812942
145,2.85825,-0.8211229999999999
146,2.88725,-0.828759
147,2.90425,-0.836667
148,2.87125,-0.844576
149,2.84525,-0.85303
150,2.82725,-0.8609379999999999
151,2.81225,-0.8688469999999999
152,2.79225,-0.876755
153,2.77525,-0.8849370000000001
154,2.75425,-0.8931180000000001
155,2.74125,-0.901026
156,2.72325,-0.908935
157,2.70525,-0.9171159999999999
158,2.69125,-0.925024
159,2.67325,-0.932933
160,2.66225,-0.9413870000000001
161,2.64325,-0.9498409999999999
162,2.63125,-0.957749
163,2.61325,-0.965658
164,2.59925,-0.9735659999999999
165,2.58425,-0.9817469999999999
166,2.57025,-0.9899290000000001
167,2.55525,-0.9978370000000001
168,2.54125,-1.00575
169,2.52725,-1.01393
170,2.51625,-1.0218399999999999
171,2.50125,-1.0297399999999999
172,2.51425,-1.03765
173,2.55025,-1.04583
174,2.58325,-1.0534700000000001
175,2.61825,-1.06138
176,2.65625,-1.06929
177,2.69325,-1.0772
178,2.73025,-1.0851
179,2.77625,-1.09274
180,2.81525,-1.10065
181,2.85925,-1.10883
182,2.90425,-1.11647
183,2.94625,-1.12437
184,2.99025,-1.13201
185,3.04225,-1.14019
186,3.09425,-1.14783
187,3.14825,-1.15574
188,3.20225,-1.16364
189,3.26025,-1.17155
190,3.31425,-1.17946
191,0.0,-1.1871
192,0.0,-1.1950100000000001
193,0.0,-1.2029100000000001
194,0.0,-1.21082
195,0.0,-1.2187299999999999
196,0.0,-1.2263700000000002
197,0.0,-1.23455
198,0.0,-1.2421799999999998
199,0.0,-1.25009
200,0.0,-1.258
201,0.0,-1.2661799999999999
202,0.0,-1.2738200000000002
203,0.0,-1.28173
204,0.0,-1.2896299999999998
205,0.0,-1.2972700000000001
206,0.0,-1.30545
207,0.0,-1.3130899999999999
208,4.84025,-1.321
209,4.84125,-1.3289
210,4.82825,-1.33681
211,4.81725,-1.34499
212,4.81425,-1.3529
213,4.79525,-1.36081
214,4.79525,-1.3687200000000002
215,4.78425,-1.37663
216,4.77825,-1.3850799999999999
217,4.76525,-1.39299
218,4.75725,-1.4009
219,4.808,-1.40854
220,4.84225,-1.41644
221,0.0,-1.4246299999999998
222,4.95325,-1.4325299999999999
223,4.95025,-1.44044
224,4.95125,-1.44835
225,4.93125,-1.45626
226,4.93325,-1.46444
227,4.92625,-1.47235
228,4.92825,-1.4802600000000001
229,4.93025,-1.48817
230,4.93125,-1.49607
231,4.91625,-1.50426
232,4.92325,-1.51216
233,4.91325,-1.52007
234,4.92225,-1.52798
235,4.91125,-1.53589
236,4.91725,-1.54407
237,4.91125,-1.55198
238,4.90025,-1.55989
239,4.90625,-1.5678
240,4.91125,-1.57598
241,4.91225,-1.58389
242,4.90125,-1.59179
243,4.83125,-1.5997
244,4.84325,-1.60788
245,4.89025,-1.61579
246,4.88925,-1.6239700000000001
247,4.90925,-1.63188
248,4.90025,-1.6400599999999999
249,4.90725,-1.6479700000000002
250,4.90325,-1.65588
251,4.91425,-1.6640599999999999
252,4.90425,-1.6719700000000002
253,4.91525,-1.68015
254,4.91125,-1.68806
255,4.92425,-1.6962400000000002
256,4.93125,-1.70415
257,4.93325,-1.71206
258,4.93525,-1.7202400000000002
259,4.94325,-1.72815
260,4.95325,-1.73633
261,4.96525,-1.7442400000000002
262,4.96925,-1.75242
263,4.97325,-1.76033
264,4.97325,-1.7685099999999998
265,4.97525,-1.77642
266,5.00225,-1.78433
267,0.0,-1.7925099999999998
268,4.85925,-1.8004200000000001
269,4.80825,-1.8086
270,4.80325,-1.8165099999999998
271,4.81225,-1.8246900000000001
272,4.81325,-1.8326
273,4.83025,-1.8405
274,4.83625,-1.8486900000000002
275,4.84025,-1.8565900000000002
276,4.85625,-1.8647799999999999
277,4.87425,-1.87268
278,4.87025,-1.8808599999999998
279,4.88325,-1.88877
280,4.89425,-1.89695
281,4.89,-1.9048599999999998
282,0.0,-1.91304
283,4.77225,-1.92095
284,4.79025,-1.9285900000000002
285,4.80325,-1.9365
286,4.82325,-1.9444099999999997
287,4.82825,-1.9523099999999998
288,4.84325,-1.96022
289,4.86725,-1.96813
290,4.86825,-1.9760400000000002
291,4.8469999999999995,-1.98395
292,0.0,-1.99213
293,0.0,-2.0000400000000003
294,0.0,-2.00795
295,0.0,-2.01613
