,range,angle
0,1.94325,0.335158
1,1.93725,0.326704
2,1.93125,0.318796
3,1.92625,0.31088699999999997
4,1.92225,0.302706
5,1.91625,0.294797
6,1.90925,0.28688800000000003
7,1.90425,0.27870700000000004
8,1.90125,0.27079899999999996
9,1.89525,0.262617
10,1.89325,0.254436
11,1.88825,0.24652800000000002
12,1.88325,0.238619
13,1.87825,0.230438
14,1.87525,0.22253
15,1.86925,0.214621
16,1.86825,0.20644
17,1.86525,0.19853099999999999
18,1.85925,0.19062300000000001
19,1.85825,0.18244200000000002
20,1.85425,0.174533
21,1.85125,0.166352
22,1.84825,0.158171
23,1.84525,0.15026199999999998
24,1.84325,0.142353
25,1.84225,0.134172
26,1.84025,0.12626300000000001
27,1.83725,0.118355
28,1.83525,0.110174
29,1.83325,0.102265
30,1.83225,0.0943568
31,1.83025,0.0861757
32,1.82725,0.0782669
33,1.82625,0.07035860000000001
34,1.82525,0.0621775
35,1.82625,0.0542687
36,1.82425,0.0463603
37,1.82325,0.038179199999999996
38,1.82125,0.023725299999999998
39,1.82125,0.015816999999999998
40,1.82125,0.00790865
41,1.82225,1.74846e-07
42,1.82025,-0.00790865
43,1.82125,-0.016089700000000002
44,1.82125,-0.023998099999999998
45,1.82025,-0.0319069
46,1.82225,-0.039815300000000005
47,1.82125,-0.047996300000000006
48,1.82225,-0.0559052
49,1.82225,-0.0638135
50,1.82325,-0.0717223
51,1.82525,-0.0799034
52,1.82625,-0.08781180000000001
53,1.82625,-0.0957206
54,1.82925,-0.103629
55,1.83125,-0.11153699999999998
56,1.83125,-0.119719
57,1.83525,-0.127627
58,1.83525,-0.135536
59,1.83725,-0.14344400000000002
60,1.83725,-0.151625
61,1.84025,-0.15953399999999998
62,1.84225,-0.167443
63,1.84425,-0.175351
64,1.84725,-0.183532
65,1.85025,-0.191441
66,1.85225,-0.199076
67,1.85525,-0.206985
68,1.85725,-0.214894
69,1.86125,-0.223075
70,1.86525,-0.23098400000000002
71,1.86725,-0.23889200000000002
72,1.86925,-0.2468
73,1.87425,-0.25498200000000004
74,1.87925,-0.26289
75,1.88325,-0.27079899999999996
76,1.88725,-0.27870700000000004
77,1.89325,-0.28688800000000003
78,1.89725,-0.294252
79,1.90125,-0.30216
80,1.90525,-0.310068
81,1.90925,-0.317977
82,1.91625,-0.326158
83,1.91925,-0.334067
84,1.92325,-0.341976
85,1.93125,-0.34988400000000003
86,1.93625,-0.358065
87,1.94025,-0.36597399999999997
88,1.94525,-0.373609
89,1.95325,-0.38151799999999997
90,1.95825,-0.38969899999999996
91,1.96325,-0.397608
92,1.97125,-0.405516
93,1.97725,-0.413425
94,1.98425,-0.42160600000000004
95,1.99325,-0.429242
96,1.99825,-0.43715
97,2.00625,-0.44505900000000004
98,2.01325,-0.45324
99,2.02125,-0.461149
100,2.02925,-0.46905699999999995
101,2.03725,-0.476966
102,2.04325,-0.48514700000000005
103,2.05425,-0.497964
104,2.05925,-0.5058729999999999
105,2.07025,-0.513781
106,2.07625,-0.52169
107,2.08525,-0.5295989999999999
108,2.09525,-0.53778
109,2.10325,-0.545415
110,2.11325,-0.5533239999999999
111,2.12925,-0.561232
112,0.0,-0.5664140000000001
113,2.92025,-0.574595
114,2.93725,-0.582504
115,2.95025,-0.5904119999999999
116,2.97025,-0.598321
117,2.98325,-0.605956
118,2.99925,-0.614137
119,3.01725,-0.622046
120,3.03225,-0.629955
121,3.05225,-0.637863
122,3.06725,-0.645772
123,3.08425,-0.653953
124,3.09925,-0.661589
125,3.12125,-0.669497
126,3.14125,-0.6774060000000001
127,3.16125,-0.685314
128,3.18125,-0.693496
129,3.20325,-0.701404
130,3.22125,-0.70904
131,3.24325,-0.7169479999999999
132,3.26725,-0.724857
133,3.28825,-0.733038
134,3.27025,-0.740947
135,3.24125,-0.748855
136,3.21625,-0.756764
137,3.19125,-0.764945
138,3.16125,-0.773126
139,3.13425,-0.781035
140,3.10725,-0.7889430000000001
141,3.07925,-0.797125
142,3.05325,-0.8053060000000001
143,3.03125,-0.813214
144,3.00525,-0.8211229999999999
145,2.98325,-0.829031
