,range,angle
0,0.85825,0.315523
1,0.85325,0.30652399999999996
2,0.84925,0.297797
3,0.84625,0.28934299999999996
4,0.84325,0.280616
5,0.84125,0.27189
6,0.83925,0.26316300000000004
7,0.83525,0.254709
8,0.84625,0.24652800000000002
9,0.86025,0.23807399999999998
10,0.88025,0.230438
11,0.90025,0.222257
12,0.91925,0.214075
13,0.94225,0.20616700000000002
14,0.96525,0.197986
15,0.98725,0.190077
16,1.01325,0.181896
17,1.03825,0.173988
18,1.06625,0.166079
19,1.093,0.157898
20,1.124,0.149989
21,0.0,0.0209983
22,0.0,0.0125445
23,0.0,0.136627
24,3.32925,0.128173
25,3.32425,0.119719
26,3.32925,0.11099200000000001
27,3.32625,0.102538
28,3.33825,0.0938113
29,3.34525,0.0853575
30,3.29625,0.0769036
31,3.29625,0.0681771
32,3.29825,0.0597232
33,3.30225,0.0509961
34,3.3139999999999996,0.0425423
35,3.30325,0.034088400000000005
36,0.0,0.0111812
37,0.0,0.016908000000000003
38,3.298,0.0081814
39,3.285,-0.00027257599999999996
40,3.28425,-0.00899917
41,3.28225,-0.0174535
42,3.28125,-0.025907299999999998
43,3.28125,-0.034361199999999995
44,3.28325,-0.0430878
45,3.28725,-0.05154159999999999
46,3.28625,-0.05999550000000001
47,3.28825,-0.06872260000000001
48,3.29225,-0.07717639999999999
49,3.29225,-0.0856302
50,3.29425,-0.0943568
51,3.29925,-0.10281099999999999
52,3.30525,-0.111265
53,3.30725,-0.119992
54,3.31125,-0.128445
55,3.32725,-0.136899
56,0.0,-0.14971700000000002
57,0.0,-0.28688800000000003
58,0.0,-0.295342
59,0.0,-0.171261
60,3.33925,-0.179715
61,3.34825,-0.188168
62,3.35225,-0.196622
63,3.35925,-0.205076
64,3.36425,-0.21353000000000003
65,3.36825,-0.222257
66,3.37525,-0.230711
67,3.408,-0.23916500000000002
68,3.37925,-0.24789099999999997
69,3.39925,-0.256345
70,3.40325,-0.26479899999999995
71,3.41525,-0.27352600000000005
72,3.43225,-0.28198
73,3.44225,-0.290434
74,3.45025,-0.29916
75,3.46225,-0.307614
76,3.46825,-0.31606799999999996
77,3.47725,-0.324795
78,3.48825,-0.33324899999999996
79,3.49725,-0.34170300000000003
80,3.51225,-0.350157
81,3.52625,-0.358338
82,3.53725,-0.366792
83,3.55125,-0.375246
84,3.56125,-0.383972
85,3.57625,-0.392426
86,3.58525,-0.40088
87,3.59725,-0.40960699999999994
88,3.61125,-0.41806099999999996
89,3.62425,-0.426515
90,3.64025,-0.435242
91,3.65625,-0.443695
92,3.67525,-0.451876
93,3.69225,-0.460603
94,3.70425,-0.46905699999999995
95,3.72525,-0.47751099999999996
96,3.74525,-0.486238
97,3.77525,-0.502328
98,0.0,-0.510509
99,3.9530000000000003,-0.5189630000000001
100,3.967,-0.527417
101,3.9960000000000004,-0.536143
102,4.015,-0.544597
103,4.033,-0.5530510000000001
104,4.0569999999999995,-0.561232
105,4.0760000000000005,-0.569959
106,4.103,-0.5784130000000001
107,4.119,-0.586867
108,4.151,-0.595321
109,4.178999999999999,-0.6040479999999999
110,4.211,-0.6125010000000001
111,4.246,-0.620955
112,4.2669999999999995,-0.629137
113,0.0,-0.772308
114,0.0,-0.780762
115,0.0,-0.6599520000000001
116,0.0,-0.79767
117,0.0,-0.806397
118,0.0,-0.814851
119,0.0,-0.68886
120,4.508,-0.697041
121,4.534,-0.705767
122,4.5760000000000005,-0.714221
123,4.611000000000001,-0.722675
124,4.654,-0.731129
125,0.0,-0.74831
126,1.6159999999999999,-0.757037
127,1.608,-0.76549
128,1.611,-0.773944
129,1.621,-0.782671
130,0.0,-0.9171159999999999
131,0.0,-0.9255700000000001
132,0.0,-0.798488
133,0.0,-0.807215
134,0.0,-0.951205
135,0.0,-0.959658
136,0.0,-0.968385
137,0.0,-0.9765659999999999
138,0.0,-0.9850200000000001
139,0.0,-0.857666
140,0.0,-0.8661200000000001
141,0.0,-0.8748459999999999
142,6.257999999999999,-0.8833
143,0.0,-1.02756
144,0.0,-0.8999360000000001
145,0.0,-1.04474
146,0.0,-0.9171159999999999
147,6.641,-0.9255700000000001
148,6.699,-0.934024
149,0.0,-0.943023
150,0.0,-0.951205
151,6.773,-0.959658
152,6.7829999999999995,-0.9681120000000001
153,6.7589999999999995,-0.9768389999999999
154,6.722,-0.985293
155,6.705,-0.9937469999999999
156,6.695,-1.0022
157,6.612,-1.0109299999999999
158,6.56125,-1.01938
159,6.572,-1.0278399999999999
160,0.0,-1.1723700000000001
161,0.0,-1.04502
162,0.0,-1.18955
163,0.0,-1.19801
164,0.0,-1.20646
165,0.0,-1.21519
166,0.0,-1.22364
167,0.0,-1.23209
168,0.0,-1.24055
169,0.0,-1.11837
170,2.50925,-1.12683
171,0.0,-1.2661799999999999
172,0.0,-1.27464
173,0.0,-1.28336
174,0.0,-1.16746
175,1.419,-1.17592
176,1.4180000000000001,-1.18464
177,0.0,-1.31745
178,0.0,-1.3256299999999999
179,1.382,-1.21028
180,1.376,-1.2187299999999999
181,1.3730000000000002,-1.22691
182,1.3719999999999999,-1.23537
183,1.368,-1.24409
184,1.369,-1.25227
185,0.0,-1.38426
186,0.0,-1.26536
187,1.74225,-1.27409
188,1.75125,-1.28227
189,0.0,-1.29045
190,1.81025,-1.29863
191,1.82425,-1.3070899999999999
192,0.0,-1.31445
193,1.963,-1.3229
194,1.9509999999999998,-1.33136
195,0.0,-1.4682600000000001
196,0.0,-1.47671
197,0.0,-1.48517
198,0.0,-1.4936200000000002
199,0.0,-1.50235
200,0.0,-1.5108
201,0.0,-1.3853600000000001
202,4.202,-1.39381
