,range,angle
0,2.49125,0.33461199999999997
1,0.0,0.32834
2,0.0,0.320159
3,0.0,0.31225
4,0.0,0.304342
5,0.0,0.296161
6,3.42125,0.287979
7,3.41525,0.279798
8,3.40425,0.271617
9,3.39625,0.263436
10,3.39325,0.255255
11,3.38425,0.24707300000000001
12,3.38725,0.23889200000000002
13,0.0,0.230711
14,0.0,0.222802
15,0.0,0.214894
16,0.0,0.20780300000000002
17,4.67725,0.199622
18,4.67525,0.191441
19,4.66625,0.18325999999999998
20,4.65725,0.17507799999999998
21,4.66625,0.166624
22,0.0,0.158716
23,0.0,0.150534
24,0.0,0.00736314
25,0.0,-0.0008180780000000001
26,0.0,-0.00899917
27,0.0,-0.0171807
28,0.0,-0.0253618
29,0.0,-0.0335429
30,0.0,-0.0417245
31,0.0,-0.0499056
32,0.0,0.07881239999999999
33,0.0,0.0706313
34,0.0,0.062723
35,0.0,-0.0826305
36,0.0,-0.0908116
37,0.0,-0.0989931
38,0.0,-0.107174
39,0.0,-0.115355
40,0.0,-0.12380899999999999
41,0.0,-0.131991
42,0.0,-0.140172
43,0.0,-0.14835299999999998
44,0.0,-0.15653399999999998
45,0.0,-0.164716
46,0.0,-0.172897
47,0.0,-0.181078
48,0.0,-0.18925899999999998
49,0.0,-0.19744
50,0.0,-0.20562199999999997
51,0.0,-0.21380300000000002
52,0.0,-0.22198400000000001
53,0.0,-0.230165
54,0.0,-0.238346
55,0.0,-0.24652800000000002
56,0.0,-0.254709
57,0.0,-0.26289
58,0.0,-0.271071
59,0.0,-0.27925300000000003
60,0.0,-0.287434
61,0.0,-0.295615
62,0.0,-0.303797
63,0.0,-0.31197800000000003
64,0.0,-0.320159
65,0.0,-0.32834
66,0.0,-0.336521
67,0.0,-0.34470300000000004
68,0.0,-0.35288400000000003
69,0.0,-0.361065
70,0.0,-0.369246
71,0.0,-0.377427
72,0.0,-0.385608
73,0.0,-0.39379000000000003
74,0.0,-0.401971
75,0.0,-0.273798
76,0.0,-0.41833400000000004
77,0.0,-0.426515
78,0.0,-0.434696
79,0.0,-0.306796
80,0.0,-0.31525
81,0.0,-0.331067
