,range,angle
0,2.22525,0.332703
1,2.21825,0.324795
2,2.21225,0.31661300000000003
3,2.20525,0.30843200000000004
4,2.20125,0.30025100000000005
5,2.22125,0.292342
6,2.27425,0.284161
7,0.0,0.276253
8,0.0,0.268344
9,0.0,0.260436
10,0.0,0.25252800000000003
11,0.0,0.244891
12,0.0,0.236983
13,0.0,0.22907399999999997
14,0.0,0.22116599999999997
15,0.0,0.213258
16,0.0,0.20534899999999998
17,0.0,0.19744
18,0.0,0.189532
19,0.0,0.181623
20,0.0,0.173442
21,0.0,0.16580599999999998
22,0.0,0.157898
23,0.0,0.149989
24,0.0,0.14208099999999999
25,0.0,0.134172
26,0.0,0.12599100000000002
27,4.68425,0.11780999999999998
28,4.69325,0.10962899999999999
29,4.67525,0.10144700000000001
30,4.68025,0.0932658
31,4.67825,0.0853575
32,4.66725,0.07717639999999999
33,4.66225,0.0689948
34,4.67625,0.06081369999999999
35,4.67025,0.0526326
36,4.66225,0.0444515
37,4.62325,0.03627
38,0.0,0.0280889
39,0.0,0.0201805
40,4.87325,0.011999
41,4.86925,0.00409061
42,4.86325,-0.00381786
43,4.86725,-0.0117262
44,4.87125,-0.0199078
45,4.87925,-0.0278161
46,4.87625,-0.0359972
47,4.88025,-0.043906
48,4.88025,-0.051814400000000004
49,4.87825,-0.05999550000000001
50,4.87725,-0.0679043
51,4.89225,-0.0760854
52,4.89225,-0.0839937
53,4.88725,-0.0919026
54,4.89125,-0.100084
55,4.90125,-0.107992
56,4.90325,-0.116174
57,4.90725,-0.124082
58,4.89825,-0.131991
59,4.90225,-0.140172
60,4.92025,-0.14808
61,4.922,-0.15626099999999998
62,0.0,-0.16417
63,0.0,-0.172351
64,4.94525,-0.18026
65,4.94225,-0.188168
66,4.95325,-0.196349
67,4.94925,-0.204258
68,4.96125,-0.212439
69,4.97925,-0.220348
70,4.99625,-0.22825700000000002
71,4.99225,-0.236438
72,5.00625,-0.244346
73,5.00525,-0.25252800000000003
74,5.01725,-0.260436
75,5.03025,-0.268344
76,5.05325,-0.27652600000000005
77,5.04925,-0.284434
78,5.06825,-0.292615
79,5.07825,-0.30052399999999996
80,5.09425,-0.30843200000000004
81,5.10625,-0.316886
82,5.127000000000001,-0.324795
83,5.13325,-0.332703
84,0.0,-0.34115700000000004
85,4.99725,-0.349066
86,4.94325,-0.35697399999999996
87,4.94725,-0.365156
88,4.96225,-0.373064
89,4.97825,-0.380973
90,4.98825,-0.389154
91,5.01625,-0.397063
92,5.03125,-0.404971
93,5.05125,-0.413152
94,5.06025,-0.42106099999999996
95,5.08725,-0.429242
96,5.112,-0.436878
97,5.127999999999999,-0.44478599999999996
98,5.079,-0.45324
99,0.0,-0.461149
100,5.01425,-0.46905699999999995
101,5.03725,-0.477238
102,5.06125,-0.48514700000000005
103,5.08725,-0.49305600000000005
104,5.10925,-0.5009640000000001
105,5.11425,-0.508872
106,5.12725,-0.516781
107,5.085,-0.525235
108,5.016,-0.533143
109,4.956,-0.541325
110,4.888,-0.549233
111,4.8260000000000005,-0.557142
112,4.761,-0.565596
113,4.694,-0.573504
114,4.64025,-0.581413
115,4.585,-0.589594
116,4.53025,-0.597503
117,4.48425,-0.605684
118,4.42825,-0.613865
119,4.37825,-0.6217739999999999
120,4.33425,-0.629955
121,4.28225,-0.638408
122,4.23225,-0.64659
123,0.0,-0.655317
124,3.60125,-0.6634979999999999
125,3.56725,-0.6714060000000001
126,3.54025,-0.679588
127,3.50325,-0.687496
128,3.47125,-0.695677
129,3.43425,-0.703859
130,3.40025,-0.711767
131,3.37225,-0.7199479999999999
132,3.34025,-0.72813
133,3.31125,-0.736038
134,3.28325,-0.744219
135,3.25725,-0.752128
136,3.22925,-0.760309
137,3.20025,-0.76849
138,3.17925,-0.776399
139,3.14825,-0.78458
140,3.12625,-0.792488
141,3.08825,-0.80067
142,3.07025,-0.808851
143,3.08725,-0.817032
144,3.09725,-0.8246680000000001
145,3.12025,-0.832577
146,3.11025,-0.840758
147,3.08225,-0.8489389999999999
148,3.06525,-0.8571200000000001
149,3.04025,-0.865029
150,3.02325,-0.8729379999999999
151,3.00225,-0.8811190000000001
152,2.98125,-0.889027
153,2.96225,-0.897481
154,2.94125,-0.9053899999999999
155,2.92425,-0.9132979999999999
156,2.90325,-0.921479
157,2.88925,-0.9293879999999999
158,2.87125,-0.9375690000000001
159,2.85225,-0.94575
160,2.83625,-0.953932
161,2.81925,-0.9615670000000001
162,2.80625,-0.969476
163,2.78425,-0.977657
164,2.77025,-0.9855649999999999
165,2.75325,-0.9940190000000001
166,2.74125,-1.00193
167,2.72725,-1.01011
168,2.71325,-1.0180200000000001
169,2.70025,-1.0262
170,2.68525,-1.03411
171,2.67025,-1.04229
172,2.65725,-1.05047
173,2.64525,-1.05865
174,2.63325,-1.06656
175,0.0,-1.07501
176,2.49525,-1.0832
177,2.49625,-1.09138
178,2.48625,-1.0992899999999999
179,2.47625,-1.1074700000000002
180,2.46625,-1.11537
181,2.45625,-1.1235600000000001
182,2.45025,-1.1314600000000001
183,2.43925,-1.13965
184,2.42625,-1.14755
185,0.0,-1.15655
186,2.23425,-1.16446
187,2.22725,-1.17264
188,2.21825,-1.18055
189,2.21025,-1.1890100000000001
190,2.20625,-1.1969100000000001
191,2.19725,-1.2051
192,2.19025,-1.213
193,2.18725,-1.22119
194,2.18025,-1.22909
195,2.17425,-1.23728
196,2.16625,-1.24518
197,2.16025,-1.25336
198,2.15325,-1.26155
199,2.14925,-1.26973
200,2.14425,-1.27791
201,2.13825,-1.28582
202,2.13325,-1.2937299999999998
203,2.12925,-1.3019100000000001
204,2.12325,-1.31009
205,2.11925,-1.31827
206,2.11525,-1.32645
207,2.10925,-1.33436
208,2.10725,-1.34254
209,2.10325,-1.3507200000000001
210,2.10025,-1.3589
211,2.09525,-1.3673600000000001
212,2.09125,-1.37554
213,2.08725,-1.38345
214,2.08725,-1.39163
215,2.08125,-1.39981
216,2.07825,-1.4079899999999999
217,2.07625,-1.4161700000000002
218,2.07425,-1.42408
219,2.07325,-1.43226
220,2.06925,-1.44044
221,2.06625,-1.44862
222,2.06725,-1.4568
223,2.06325,-1.46499
224,2.06225,-1.47289
225,2.06125,-1.48108
226,2.06025,-1.48926
227,2.05625,-1.4974399999999999
228,2.05325,-1.5056200000000002
229,2.05725,-1.5135299999999998
230,2.05725,-1.5217100000000001
231,2.05225,-1.52989
232,2.05325,-1.53807
233,2.05225,-1.54625
234,2.05125,-1.55443
235,2.05225,-1.56234
236,2.05025,-1.5705200000000001
237,2.05325,-1.5787
238,2.05125,-1.58689
239,2.05225,-1.59507
240,2.05125,-1.60325
241,2.05325,-1.61116
242,2.05225,-1.61907
243,2.05525,-1.62725
244,2.05625,-1.63516
245,2.05425,-1.6433400000000002
246,2.05825,-1.65124
247,2.05925,-1.65943
248,2.06025,-1.6676099999999998
249,2.06225,-1.6755200000000001
250,2.06425,-1.6837
251,2.06825,-1.6916099999999998
252,2.06825,-1.6997900000000001
253,2.07225,-1.70797
254,2.07325,-1.7158799999999998
255,2.07325,-1.72406
256,2.07725,-1.73197
257,2.08025,-1.74015
258,2.08425,-1.74833
259,2.08725,-1.7562400000000002
260,2.09025,-1.76442
261,2.09425,-1.77233
262,2.09525,-1.7805099999999998
263,2.10025,-1.78814
264,2.10225,-1.79633
265,2.10725,-1.8045099999999998
266,2.10925,-1.8124200000000001
267,2.11525,-1.8206
268,2.11825,-1.8285099999999999
269,2.12425,-1.8366900000000002
270,2.13125,-1.84487
271,2.13625,-1.8527799999999999
272,2.14025,-1.86096
273,2.14325,-1.86887
274,2.14925,-1.87705
275,2.15625,-1.8849599999999997
276,2.16025,-1.8928599999999998
277,2.16825,-1.90105
278,2.17225,-1.90895
279,2.18025,-1.91714
280,2.18725,-1.9253200000000001
281,2.19325,-1.93377
282,2.19725,-1.9416799999999999
283,2.20425,-1.94986
284,2.21225,-1.9580400000000002
285,2.22025,-1.9656799999999999
286,2.22925,-1.97386
287,2.23725,-1.9820400000000002
288,2.24425,-1.98995
289,2.25225,-1.99813
290,2.25925,-2.00631
291,2.26725,-2.01422
292,2.27525,-2.0224
293,2.28325,-2.03031
294,2.29425,-2.03822
295,2.30325,-2.0464
296,2.31325,-2.05458
297,2.32125,-2.06249
298,2.33025,-2.0706700000000002
299,2.34125,-2.07885
300,2.35525,-2.08649
301,2.36325,-2.0946700000000003
302,2.37225,-2.10285
303,2.38825,-2.11076
304,2.40025,-2.1189400000000003
305,2.41025,-2.12712
306,2.41925,-2.13503
307,2.43625,-2.1429400000000003
308,2.44825,-2.15112
309,2.45925,-2.15903
310,2.47125,-2.16721
311,2.48525,-2.17539
312,2.50025,-2.18303
313,2.51525,-2.19121
314,2.52925,-2.19939
315,2.54125,-2.2073
316,2.56125,-2.21548
317,2.57525,-2.2236599999999997
318,2.59225,-2.23129
319,2.60625,-2.23948
320,2.62225,-2.2476599999999998
321,2.64025,-2.25611
322,2.65725,-2.26402
323,2.67725,-2.27193
324,2.69425,-2.27984
325,2.71125,-2.28802
326,2.73225,-2.2962
327,2.74725,-2.3041099999999997
328,2.76925,-2.31202
329,2.78925,-2.31992
330,2.81425,-2.3281099999999997
331,2.83125,-2.33629
332,2.85325,-2.3442
333,2.87425,-2.3521
334,2.89825,-2.36029
335,2.92125,-2.3681900000000002
336,2.94725,-2.37637
337,2.97225,-2.38401
338,2.99625,-2.3921900000000003
339,3.02025,-2.40037
340,3.02825,-2.40828
341,0.0,-2.4156400000000002
342,3.40825,-2.42355
343,3.44125,-2.43173
344,3.47625,-2.43992
345,3.50725,-2.44755
346,3.54425,-2.45573
347,3.57825,-2.46391
348,3.61525,-2.47182
349,3.65125,-2.48
350,3.68525,-2.4876400000000003
351,3.72225,-2.49582
352,3.77025,-2.504
353,3.80425,-2.51191
354,3.85025,-2.51982
355,3.87625,-2.52773
356,3.85425,-2.53591
357,3.83425,-2.5443599999999997
358,3.80425,-2.55227
359,3.78925,-2.56045
360,3.80625,-2.5686299999999997
361,3.79225,-2.57654
362,3.84925,-2.58418
363,3.90125,-2.5920900000000002
364,0.0,-2.60027
365,4.00925,-2.60818
366,4.06525,-2.6160799999999997
367,4.1080000000000005,-2.62399
368,0.0,-2.63163
369,4.676,-2.63954
370,4.742,-2.64772
371,4.811,-2.65535
372,0.0,-2.6635400000000002
373,4.952,-2.67144
374,4.99125,-2.67963
375,4.98125,-2.6875299999999998
376,4.95525,-2.69572
377,4.93725,-2.70362
378,4.9510000000000005,-2.71181
379,0.0,-2.72626
380,1.959,-2.73444
381,1.9509999999999998,-2.74235
382,1.945,-2.75053
383,1.944,-2.7584400000000002
384,1.942,-2.76689
385,1.9409999999999998,-2.7748
386,1.949,-2.78271
387,1.956,-2.79062
388,0.0,-2.9272400000000003
389,0.0,-2.93515
390,0.0,-2.80753
391,0.0,-2.8151599999999997
392,0.0,-2.82334
393,0.0,-2.96733
394,0.0,-2.97551
395,0.0,-2.98342
396,0.0,-2.9916
397,0.0,-2.99951
398,0.0,-3.00769
399,0.0,-3.0156
400,0.0,-2.89561
401,1.896,-2.90352
402,1.891,-2.9117
403,1.886,-2.91988
404,1.88,-2.9277900000000003
405,1.88,-2.93597
406,1.8980000000000001,-2.94388
407,1.9180000000000001,-2.9517900000000004
408,0.0,-3.08814
409,0.0,-3.09605
410,0.0,-3.10423
411,0.0,-3.1124099999999997
412,0.0,-3.12032
413,0.0,-3.1285
414,0.0,-3.13668
415,0.0,3.13859
416,0.0,3.13041
417,0.0,3.1225
418,0.0,-3.04315
419,1.55625,-3.0516
420,1.54825,-3.05951
421,1.54325,-3.0676900000000002
422,1.54425,-3.0756
423,1.54525,-3.08378
424,1.54925,-3.09196
425,1.55125,-3.09987
426,1.55625,-3.10805
427,1.56525,-3.11596
428,0.0,3.0336
429,0.0,3.02542
430,0.0,3.0175099999999997
431,0.0,3.00933
432,0.0,3.00115
433,1.53525,3.11869
434,1.53125,3.1105
435,1.51925,3.10232
436,1.50725,3.0941400000000003
437,1.50225,3.08596
438,1.49825,3.0777799999999997
439,1.50025,3.06987
440,1.50725,3.06169
441,1.51425,3.05324
442,1.53325,3.0456
443,0.0,3.03769
444,0.0,2.90406
445,0.0,2.89588
446,0.0,3.02324
447,0.0,3.01478
448,0.0,2.87161
449,0.0,2.99815
450,4.371,2.98997
451,0.0,2.98179
452,0.0,2.97333
453,0.0,2.96488
454,0.0,2.9567
455,0.0,2.94824
456,0.0,2.94006
457,0.0,2.93161
458,0.0,2.92315
459,0.0,2.9149700000000003
460,0.0,2.90652
461,0.0,2.89834
462,0.0,2.88988
463,0.0,2.8817
464,0.0,2.87325
465,0.0,2.86479
466,0.0,2.85661
467,0.0,2.84816
468,2.19125,2.8399799999999997
469,2.13625,2.8315200000000003
470,2.07825,2.82307
471,2.03225,2.81489
472,0.0,2.8064299999999998
473,0.0,2.79825
474,0.0,2.7898
475,0.0,2.78135
476,1.80925,2.7734400000000003
477,1.77225,2.76498
478,1.73425,2.7568
479,1.70025,2.74835
480,1.66625,2.73989
481,1.63325,2.73117
